,Unnamed: 0,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,building_age,prop_type_1,prop_type_2,prop_type_3,prop_type_4,prop_type_5,prop_type_6,prop_type_7,PrimaryPropertyType_0,PrimaryPropertyType_1,PrimaryPropertyType_2,PrimaryPropertyType_3,PrimaryPropertyType_4,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,LargestPropertyUseType_0,LargestPropertyUseType_1,LargestPropertyUseType_2,LargestPropertyUseType_3,LargestPropertyUseType_4,LargestPropertyUseType_5,SecondLargestPropertyUseType_0,SecondLargestPropertyUseType_1,SecondLargestPropertyUseType_2,SecondLargestPropertyUseType_3,SecondLargestPropertyUseType_4,SecondLargestPropertyUseType_5,ThirdLargestPropertyUseType_0,ThirdLargestPropertyUseType_1,ThirdLargestPropertyUseType_2,ThirdLargestPropertyUseType_3,ThirdLargestPropertyUseType_4,ThirdLargestPropertyUseType_5,electricity_binary,natural_gas_binary,steam_binary,ENERGYSTARScore,TotalGHGEmissions,SiteEnergyUse(kBtu)
21,21,1,8,59400,0,59400,34947.0,4993.0,0.0,106,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,14.0,35.36,5071974.0
22,22,1,20,98634,10043,88591,83591.0,10043.0,5000.0,86,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,71.0,59.19,4841347.5
23,23,1,7,71150,0,71150,41340.0,13730.0,9604.0,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,98.0,134.38,5348309.0
24,24,1,7,122810,0,122810,88360.0,26450.0,8000.0,108,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,99.0,227.18,5401277.5
25,25,1,5,113173,42546,70627,70627.0,42546.0,0.0,57,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,86.0,144.79,5284343.5
26,26,1,7,150453,34735,115718,107547.0,3000.0,0.0,16,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,84.0,199.95,6715187.0
27,27,1,6,116300,28200,88100,88490.0,28300.0,0.0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,80.0,162.39,5827595.5
28,28,1,6,155602,36744,118858,155602.0,0.0,0.0,18,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,81.0,152.76,6836900.0
29,29,1,3,56072,0,56072,56072.0,0.0,0.0,105,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,76.0,146.34,3234787.75
30,30,1,4,122942,44891,78051,78051.0,44891.0,0.0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,94.0,171.64,5337334.0
31,31,1,2,54984,0,54984,54984.0,0.0,0.0,54,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,71.0,87.98,3375211.0
32,32,1,6,84103,20732,63371,63371.0,20732.0,0.0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,74.0,67.06,3706100.25
33,33,1,7,76631,0,76631,76631.0,0.0,0.0,108,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,71.0,262.75,7258758.5
34,34,1,2,58320,0,58320,72072.0,0.0,0.0,87,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,96.0,39.06,1049748.625
35,35,1,1,91213,0,91213,65000.0,0.0,0.0,54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,75.0,344.2,8141155.5
36,36,1,2,52000,0,52000,52000.0,0.0,0.0,54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,75.0,101.83,2726369.0
37,37,1,1,60696,0,60696,108000.0,0.0,0.0,88,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,75.0,6.11,875943.3125
38,38,0,2,66240,2352,63888,45900.0,5181.0,4551.0,30,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,75.0,29.04,4166306.25
39,39,1,4,76213,25930,50283,48546.0,21454.0,2406.0,46,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,68.0,48.76,3476212.5
40,40,1,6,96910,36934,59976,59976.0,36934.0,0.0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,56.0,152.14,5155568.5
41,41,2,4,50017,0,50017,50017.0,0.0,0.0,54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,53.0,191.2,5448975.0
42,42,1,3,67743,0,67743,67743.0,0.0,0.0,93,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,34.0,78.85,2646879.0
43,43,1,6,194104,0,194104,194104.0,0.0,0.0,108,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,100.0,243.23,6219841.5
44,44,1,3,99433,35752,63681,63681.0,35752.0,0.0,13,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,63.0,34.14,4897760.0
45,45,1,4,56521,0,56521,49000.0,0.0,0.0,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,75.0,44.32,6357632.0
46,46,1,2,206934,0,206934,119146.0,0.0,0.0,87,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,75.0,133.58,4253577.5
47,47,1,4,51390,0,51390,51390.0,0.0,0.0,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,89.0,127.29,3611538.0
48,48,1,3,69138,0,69138,70609.0,0.0,0.0,14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,78.0,89.02,3242458.0
